soal,rating,lampiran,jawaban,key
"Ketika kamu dihadapkan dengan orang yang bertanya tentang pengertian sistem bilangan, agar orang tersebut mudah untuk memahami hal tersebut, jawabanmu adalah....",1,lampiranz111.jpg,"Sistem bilangan adalah sebuah sistem atau metode yang digunakan untuk mewakili besaran atau kuantitas dari obyek tertentu denga terlebih dahulu menetapkan sebuah bilangan sebagai dasar atau rujukan. Sistem bilangan pada dasarnya terdiri dari empat jenis yaitu desimal, oktal, biner, dan hexadesimal.","metode, besaran, kuantitas, desimal, oktal, biner, hexadesimal"
"Ketika kamu dihadapkan dengan orang yang bertanya tentang tentang ciri – ciri sistem bilangan biner, agar orang tersebut mudah untuk memahami hal tersebut, jawabanmu adalah....",1,lampiranz111.jpg,Sistem bilangan biner atau sistem bilangan basis dua adalah sebuah sistem penulisan angka dengan menggunakan dua simbol yaitu 0 dan 1.,"0,1, basis, dua"
"Ketika kamu dihadapkan dengan orang yang bertanya tentang  ciri – ciri sistem bilangan desimal, agar orang tersebut mudah untuk memahami hal tersebut, jawabanmu adalah....",1,lampiranz111.jpg,Sistem bilangan desimal atau persepuluhan adalah sistem bilangan yang menggunakan 10 macam angka dari 0 sampai 9.,"persepuluhan,10"
"Ketika kamu dihadapkan dengan orang yang bertanya tentang ciri – ciri sistem bilangan oktal, agar orang tersebut mudah untuk memahami hal tersebut, jawabanmu adalah....",1,lampiranz111.jpg,Oktal adalah sebuah sistem bilangan yang berisi delapan angka mulai dari 0 sampai 7.,"8, delapan,0,7"
"Ketika kamu dihadapkan dengan orang yang bertanya tentang ciri – ciri sistem bilangan hexadesimal, agar orang tersebut mudah untuk memahami hal tersebut, jawabanmu adalah....",1,lampiranz111.jpg,"Heksadesimal atau sistem bilangan basis 16 adalah sebuah sistem bilangan yang menggunakan 16 simbol. Berbeda dengan sistem bilangan desimal, simbol yang digunakan dari sistem ini adalah angka 0 sampai 9, ditambah dengan 6 simbol lainnya dengan menggunakan huruf A hingga F.","16, simbol, A, F"
"Ketika kamu dihadapkan dengan orang yang bertanya tentang perbedaan bilangan hexadesimal dengan bilangan desimal, Agar mudah untuk memahami hal tersebut, jawabanmu adalah....",1,lampiranz111.jpg,Bilangan hexadesimal adalah bilangan dengan basis 16. Bilangan desimal adalah bilangan dengan basis 10.,"hexadesimal, 16, desimal, 10"
"Ketika kamu dihadapkan dengan orang yang bertanya tentang tentang perbedaan bilangan hexadesimal dengan bilangan oktal, agar orang tersebut mudah untuk memahami hal tersebut, jawabanmu adalah....",1,lampiranz111.jpg,Bilangan hexadesimal adalah bilangan dengan basis 16. Bilangan oktal adalah bilangan dengan basis 8.,"hexadesimal, 16, oktal, 8"
"Ketika kamu dihadapkan dengan orang yang bertanya tentang tentang perbedaan bilangan desimal dengan bilangan oktal, Agar mudah untuk memahami hal tersebut, jawabanmu adalah....",1,lampiranz111.jpg,Bilangan desimal adalah bilangan dengan basis 10. Bilangan oktal adalah bilangan dengan basis 8.,"desimal, 10, oktal, 8"
"Ketika kamu dihadapkan dengan orang yang bertanya tentang perbedaan bilangan biner dengan bilangan desimal, agar orang tersebut mudah untuk memahami hal tersebut, jawabanmu adalah....",1,lampiranz111.jpg,Bilangan biner adalah bilangan dengan basis dua bilangan yakni 1 dan 0 . Bilangan desimal adalah bilangan dengan basis 10. ,"1,0, biner, desimal, 10"
"Ketika kamu dihadapkan dengan orang yang bertanya tentang perbedaan bilangan biner dengan bilangan oktal, agar orang tersebut mudah untuk memahami hal tersebut, jawabanmu adalah....",1,lampiranz111.jpg,Bilangan biner adalah bilangan dengan basis dua bilangan yakni 1 dan 0 . Bilangan oktal adalah bilangan dengan basis 8. ,"biner, 1,0, oktal, 8"
"Andi lahir pada tanggal 30 januari 1995. Ketika kuliah, Andi mendapatkan tugas untuk mengubah tahun lahirnya menjadi bilangan biner, pada tugas tersebut tertulis bahwa kondisi awal tahun lahir adalah bilangan hexadesimal, maka tahun lahir Andi adalah....",2,lampiranz211.jpg,"1995 hexadesimal, 0001 1001 1001 0101 biner","1996 hexadesimal, 0001 1001 1001 0101 biner"
"Supri lahir tepat pada peringatan HUT RI pada tahun 2000. Ketika kuliah, Supri mendapatkan tugas untuk mengubah tahun lahirnya menjadi bilangan biner, pada tugas tersebut tertulis bahwa kondisi awal tahun lahir adalah bilangan hexadesimal, maka tahun lahir Supri adalah....",2,lampiranz211.jpg,"2000 hexadesimal, 0010 0000 0000 0000 biner","2000 hexadesimal, 0010 0000 0000 0000 biner"
"Mubarok baru saja pindah rumah minggu lalu,Mubarok pindah alamat dari jln.Anggrek no.46 menjadi jln.Kenanga no.69, berapa jumlah kedua nomor rumah tersebut dalam hexadesimal jika keadaan awal bilangan tersebut adalah desimal?",2,lampiranz211.jpg,"115 desimal, 73 hexadesimal","115 desimal, 73 hexadesimal"
"Mubarok baru saja pindah rumah minggu lalu,Mubarok pindah alamat dari jln.Anggrek no.46 menjadi jln.Kenanga no.69, berapa jumlah kedua nomor rumah tersebut dalam biner jika keadaan awal bilangan tersebut adalah hexadesimal?",2,lampiranz211.jpg,"AF hexadesimal, 1010 1111 biner","AF hexadesimal, 1010 1111 biner"
"Fariz baru saja pindah rumah 2 hari lalu,Fariz pindah alamat dari jln.Anggrek no.43 menjadi jln.Kenanga no.67, jika kondisi awal kedua nomor rumah Fariz adalah bilangan desimal, maka jumlah kedua bilangan tersebut dalam hexadesimal adalah ....",2,lampiranz211.jpg,"110 desimal, 6E hexadesimal","110 desimal, 6E hexadesimal"
"Fariz sedang berada di bank untuk membuat pin untuk ATM barunya. Faris menginginkan tahun lahirnya yakni 2002 untuk menjadi pin ATM, untuk tetap terkesan unik, Fariz mengubah tahun yang diaggapnya sebagai bilangan hexadesimal menjadi bilangan desimal. Dari konversi bilangan tersebut, maka pin ATM Fariz adalah ....",2,lampiranz211.jpg,"2002 hexadesimal, 8194 desimal","2002 hexadesimal, 8194 desimal"
"Fariz sedang berada di bank untuk membuat pin untuk ATM barunya. Faris menginginkan tahun lahirnya yakni 2000 untuk menjadi pin, untuk tetap terkesan unik, dia mengubah tahun lahirnya yang diaggapnya sebagai bilangan hexadesimal menjadi bilangan desimal. Dari konversi bilangan tersebut, maka pin ATM Fariz adalah ....",2,lampiranz211.jpg,"2000 hexadesimal, 8192 desimal","2000 hexadesimal, 8192 desimal"
"Fariz sedang berada di bank untuk membuat pin untuk ATM barunya. Faris menginginkan tahun lahirnya yakni 1985 untuk menjadi pin, untuk tetap terkesan unik, dia mengubah tahun lahirnya yang diaggapnya sebagai bilangan hexadesimal menjadi bilangan desimal. Dari konversi bilangan tersebut, maka pin ATM Fariz adalah ....",2,lampiranz211.jpg,"1985 hexadesimal, 6533 desimal","1985 hexadesimal, 6533 desimal"
